"","treenode_id","connector_id","prepost","x","y","z","skid"
"557",7389970,7576631,1,17993.89,51232.38,23400,2457958
"558",7573115,7573114,1,16928.492,50840.855,23000,2457966
"559",7541335,7566661,1,17786.844,48982.266,25350,2457980
"560",7571911,7571908,1,17743.293,48514.516,24850,2457980
"561",7573117,7573114,1,16928.492,50840.855,23000,2457988
"562",7571694,7571693,1,17576.225,47725.39,21900,2457988
"563",7331557,7331549,1,17749.824,47775.79,21400,2457988
"564",7570026,7570024,1,13698.533,43803.01,22800,2458004
"565",7390469,7570305,1,14312.669,43382.727,22350,2458004
"566",7571610,7571609,1,15762.13,44451.86,22450,2458004
"567",7571621,7571620,1,14745.73,44208.26,22550,2458004
"568",7332257,7332256,1,19171.293,49206.586,22600,2458011
"569",7541818,7541817,1,16923.668,40012.004,25950,2458020
"570",7390725,7572365,1,18075.559,41733.387,26500,2458027
"571",7390718,7541825,1,15861.69,40361.387,25150,2458027
"572",7541834,7541833,1,16452.8,40623.336,24600,2458027
"573",7572433,7572431,1,16626.4,41278.535,24100,2458027
"574",7572115,7541842,1,14695.8,39927.07,24150,2458027
"575",7572093,7572092,1,16418.893,42597.652,23850,2458027
"576",7572115,7572114,1,14876.092,42676.055,24300,2458027
"577",7569933,7541458,1,23564.799,57180.664,20500,2458046
"578",7390847,7573110,1,23406.805,53367.895,17600,2458046
"579",7336438,7336434,1,23526.271,53614.293,18650,2458046
"580",7390994,7541458,1,23564.799,57180.664,20500,2458064
"581",7541401,7541469,1,25815.064,59500.93,20200,2458079
"582",7566773,7566771,1,27393.332,59605.465,21350,2458079
"583",7574879,7522339,1,34769,61543.543,20700,2458091
"584",7565186,7565185,1,30434.133,63062.297,21050,2458099
"585",7528668,7528667,1,30518.447,62574.48,20200,2458099
"586",7551595,7551600,1,27697.912,59963.01,22300,2458117
"587",7573572,7533243,1,33509.81,59927.97,19900,2458138
"588",7574828,7574827,1,35313.91,61965.94,21600,2458138
"589",7547860,7568848,1,35499.332,62588.867,21400,2458138
"590",7391649,7569183,1,31403.867,56746.9,16700,2458147
"591",7526397,7569198,1,30768.268,56854.7,16750,2458147
"592",7391657,7569206,1,32232.357,59281.363,17600,2458147
"593",7391660,7547112,1,32397.248,58885.01,18150,2458147
"594",7575010,7547112,1,32397.248,58885.01,18150,2458147
"595",7391863,7601560,1,34669.6,64301.812,19000,2458164
"596",7528748,7567798,1,32928.934,64208.895,22150,2458171
"597",7528722,7567820,1,33113.734,63598.492,21850,2458171
"598",7568837,7568836,1,35866.133,62350.867,21550,2458180
"599",7568860,7568859,1,35442.4,63410.195,21850,2458180
"600",7564527,7560220,1,36822.8,64267.23,17500,2458188
"601",7528570,7528569,1,36025.266,64217.297,18350,2458188
"602",7564497,7559845,1,32000.732,63860.297,18950,2458197
"603",7547190,7547188,1,32746.314,62964.61,19200,2458197
"604",7601574,7601573,1,34980.4,63288.215,18350,2458197
"605",7392306,7548028,1,37943.42,61171.83,16450,2458211
"606",7569207,7548033,1,38363.42,61636.63,16850,2458211
"607",7576017,7576015,1,41135.42,60201.63,16000,2458211
"608",7565505,7565502,1,40390,59184.297,13250,2458220
"609",7392339,7569531,1,36472.76,55711.496,11900,2458220
"610",7555836,7569535,0,35881.96,56055.895,11900,2458220
"611",7392357,7576014,0,41451.82,60196.03,15500,2458220
"612",7576016,7576015,1,41135.42,60201.63,16000,2458220
"613",7565201,7565199,1,40526.734,60851.7,14400,2458220
"614",7565504,7565502,1,40390,59184.297,13250,2458220
"615",7392347,7565687,0,38945.664,57171.56,13550,2458220
"616",7392337,7555799,1,35735.895,54981.16,11350,2458220
"617",7392347,7576636,1,39525.266,56689.96,13500,2458220
"618",7569208,7548033,1,38363.42,61636.63,16850,2458229
"619",7560295,7560294,1,38441.82,61792.03,17150,2458229
"620",7392418,7548028,1,37943.42,61171.83,16450,2458229
"621",7540278,7576633,1,39054.4,55405.47,13400,2458237
"622",7596757,7596756,1,39123.81,56146.57,14200,2458237
"623",7596803,7596802,0,39151.81,56812.97,14400,2458237
"624",7334591,7334590,1,41575.332,55783.004,16000,2458237
"625",7334586,7567210,1,38232.13,53557,14150,2458246
"626",7596758,7596756,1,39123.81,56146.57,14200,2458246
"627",7559846,7559845,1,32000.732,63860.297,18950,2458263
"628",7392661,7565185,1,30434.133,63062.297,21050,2458263
"629",7565188,7565187,1,30848.531,62787.895,20750,2458263
"630",7634688,7634684,1,33550.2,67182,16800,2458342
"631",7555826,7569525,1,37102.76,56013.895,11900,2458418
"632",7565591,7565590,1,39123.934,57305.96,13100,2458418
"633",7565655,7565652,1,38195.734,56864.96,12900,2458418
"634",7569526,7569525,1,37102.76,56013.895,11900,2458426
"635",7393738,7555799,1,35735.895,54981.16,11350,2458426
"636",7635197,7635194,1,34939.72,52857.758,10450,2458426
"637",7533018,7567581,1,18970,39284.234,24200,2472546
"638",7466780,7569003,1,18354,39345.836,24800,2472546
"639",7466980,7567649,1,24865.87,43105.996,17950,2472558
"640",7533007,7533006,1,19857.6,37868.836,23900,2472558
"641",7467117,7566575,1,24267.6,40633.836,22350,2472573
