"","skid","celltype","cilia","avg_cil_length","avg_cil_pocket_depth","centrioles","mitochondria","incoming_syn","outgoing_syn","polyadicity","upstream_celltypes","downstream_celltypes"
"982",4019288,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"983",4019298,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"984",4019315,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"985",4019330,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"986",4019339,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"987",4019364,NA,0,NA,NA,10,NA,0,0,NA,"",""
"988",4019390,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"989",4019254,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"990",4019299,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"991",4019316,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"992",4019324,NA,1,NA,NA,10,NA,0,0,NA,"",""
"993",4019317,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"994",4019325,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"995",4019340,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"996",4019365,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"997",4019309,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"998",4019332,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"999",4019333,NA,1,6711,488,14,NA,0,0,NA,"",""
"1000",4019341,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"1001",4019342,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"1002",4019366,NA,0,NA,NA,7,NA,0,0,NA,"",""
"1003",4018379,NA,1,NA,NA,NA,NA,0,0,NA,"",""
"1004",4019368,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"1005",4019344,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"1006",4019369,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"1007",4019392,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"1008",4019345,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"1009",4019394,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"1010",4019346,"1",0,NA,NA,NA,NA,0,0,NA,"",""
"1011",4019372,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"1012",4019373,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"1013",4019347,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"1014",4019374,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"1015",4019348,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"1016",4019375,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"1017",4019349,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"1018",4019376,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"1019",4019350,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"1020",4019377,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"1021",4019351,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"1022",4019378,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"1023",4019352,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"1024",4019379,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"1025",4019380,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"1026",4019381,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"1027",4019353,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"1028",4019382,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"1029",4019227,NA,0,NA,NA,NA,NA,2,0,NA,"SSN",""
"1030",4019354,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"1031",4019383,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"1032",4019355,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"1033",4019356,NA,7,NA,NA,NA,NA,0,0,NA,"",""
"1034",4019357,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"1035",4019358,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"1036",4019384,NA,0,NA,NA,NA,NA,0,0,NA,"",""
"1037",4019397,NA,0,NA,NA,NA,NA,0,0,NA,"",""
