frame,left,right
1,2,20
2,3,17
3,1,15
4,2,14
5,4,12
6,2,12
7,2,12
8,1,12
9,4,14
10,2,15
11,4,15
12,0,14
13,,
14,,
15,,
16,13,10
17,9,15
18,11,17
19,7,16
20,10,15
21,2,13
22,5,13
23,4,12
24,0,13
25,2,10
26,6,10
27,1,8
28,0,9
29,0,8
30,1,8
31,1,9
32,3,10
33,4,13
34,6,18
35,7,15
36,3,14
37,3,15
38,3,14
39,1,12
40,1,9
41,1,9
42,0,8
43,0,7
44,1,7
45,1,6
46,1,6
47,1,3
48,0,4
49,,
50,,
51,1,1
52,1,0
53,1,1
54,1,1
55,1,3
56,1,7
57,0,8
58,1,9
59,3,11
60,6,14
61,4,13
62,0,13
63,3,13
64,2,11
65,1,9
66,1,8
67,0,8
68,1,7
69,0,6
70,1,5
71,0,5
72,1,7
73,0,8
74,0,8
75,1,9
76,0,9
77,1,9
78,0,8
79,1,8
80,1,8
81,0,8
82,0,10
83,1,8
84,1,8
85,1,9
86,2,9
87,1,8
88,0,6
89,1,6
90,0,5
91,0,2
92,0,1
93,,
94,,
95,,
96,1,11
97,1,14
98,0,18
99,1,20
100,1,20
101,4,21
102,3,20
103,3,19
104,3,16
105,2,15
106,4,12
107,1,14
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
