frame,left,right
1,11,0
2,10,1
3,12,1
4,,
5,11,1
6,17,1
7,17,1
8,17,2
9,17,1
10,17,3
11,14,4
12,0,5
13,6,4
14,14,4
15,19,2
16,20,1
17,19,1
18,18,0
19,20,3
20,20,0
21,20,1
22,19,1
23,16,1
24,15,2
25,14,1
26,16,2
27,18,0
28,18,0
29,13,0
30,8,1
31,18,5
32,21,4
33,19,0
34,16,1
35,13,0
36,14,3
37,19,7
38,20,1
39,19,0
40,18,0
41,18,0
42,17,0
43,16,1
44,16,1
45,13,1
46,12,0
47,10,0
48,10,1
49,10,0
50,11,1
51,11,4
52,14,1
53,14,0
54,14,2
55,12,0
56,14,1
57,12,1
58,12,1
59,10,0
60,10,1
61,14,4
62,17,4
63,19,3
64,18,1
65,17,2
66,16,1
67,15,3
68,14,0
69,12,0
70,12,2
71,13,1
72,14,2
73,13,1
74,14,1
75,14,1
76,14,2
77,12,0
78,13,1
79,14,3
80,15,1
81,18,0
82,19,0
83,20,2
84,17,2
85,18,1
86,19,3
87,18,2
88,18,2
89,16,0
90,15,2
91,,
92,,
93,15,1
94,19,2
95,17,0
96,17,1
97,19,1
98,19,0
99,18,1
100,19,1
101,18,1
102,15,1
103,14,0
104,10,1
105,0,0
106,2,4
107,6,1
108,18,0
109,21,1
110,16,1
111,0,0
112,21,9
113,19,0
114,22,4
115,20,1
116,21,1
117,21,1
118,19,3
119,22,1
120,23,2
