frame,left,right
1,9,13
2,10,14
3,7,12
4,7,12
5,6,11
6,7,10
7,5,10
8,4,9
9,4,9
10,3,8
11,4,8
12,5,7
13,6,7
14,5,7
15,5,7
16,5,8
17,4,8
18,4,8
19,3,7
20,3,6
21,3,5
22,0,4
23,,
24,4,4
25,4,5
26,4,7
27,4,9
28,5,9
29,7,10
30,7,11
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,7,11
39,6,11
40,8,12
41,6,10
42,7,10
43,,
44,,
45,6,13
46,6,13
47,7,12
48,4,9
49,6,9
50,5,9
51,5,10
52,4,8
53,4,9
54,4,8
55,5,8
56,5,7
57,6,8
58,5,8
59,5,8
60,5,8
61,5,9
62,4,8
63,6,8
64,5,9
65,6,9
66,6,8
67,7,9
68,5,9
69,6,10
70,6,8
71,5,9
72,6,8
73,6,7
74,6,7
75,5,7
76,4,7
77,5,8
78,4,8
79,3,6
80,0,3
81,0,1
82,0,1
83,5,5
84,7,7
85,,
86,,
87,,
88,,
89,6,11
90,2,15
91,3,14
92,5,12
93,6,12
94,4,11
95,5,10
96,4,9
97,4,9
98,6,11
99,5,10
100,6,11
101,6,12
102,6,11
103,7,10
104,,
105,,
106,,
107,,
108,3,11
109,7,15
110,9,14
111,9,13
112,6,12
113,7,13
114,7,12
115,7,11
116,5,10
117,5,10
118,3,9
119,3,8
120,0,7
