frame,left,right
1,,
2,,
3,,
4,,
5,,
6,3,13
7,6,13
8,2,10
9,6,12
10,9,13
11,7,14
12,11,16
13,12,15
14,10,12
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,7,13
28,3,9
29,6,12
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,3,12
44,2,11
45,4,12
46,9,14
47,7,14
48,6,12
49,10,14
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,4,14
79,2,13
80,1,11
81,1,8
82,,
83,,
84,,
85,1,16
86,0,14
87,2,12
88,3,12
89,1,10
90,1,11
91,2,12
92,6,13
93,6,15
94,2,12
95,0,13
96,3,13
97,9,12
98,7,11
99,1,11
100,1,11
101,2,11
102,5,12
103,6,15
104,5,13
105,1,12
106,1,11
107,7,10
108,7,9
109,6,9
110,4,9
111,1,10
112,2,10
113,4,8
114,5,8
115,3,8
116,,
117,,
118,,
119,,
120,,
