frame,left,right
1,1,
2,,
3,,1
4,1,
5,1,1
6,2,
7,3,4
8,7,4
9,9,6
10,12,8
11,13,7
12,15,11
13,14,10
14,12,8
15,12,8
16,11,6
17,9,6
18,6,5
19,2,1
20,,
21,,
22,,
23,,
24,,
25,1,
26,,1
27,1,
28,,1
29,1,
30,,1
31,1,
32,,1
33,,
34,,
35,13,12
36,13,12
37,9,7
38,,
39,2,1
40,2,2
41,3,1
42,1,
43,1,
44,,1
45,1,3
46,5,5
47,4,4
48,3,4
49,2,
50,,
51,,1
52,1,
53,1,
54,,1
55,1,
56,,1
57,1,
58,,
59,1,
60,,
61,1,
62,1,
63,,
64,1,
65,1,
66,1,
67,1,
68,4,2
69,2,
70,,
71,,
72,1,
73,,1
74,1,
75,1,
76,1,
77,,
78,1,
79,1,
80,,
81,1,1
82,,1
83,1,1
84,,
85,,
86,1,
87,1,
88,,
89,1,
90,,
91,1,1
92,,
93,1,1
94,3,4
95,8,8
96,16,12
97,16,12
98,15,13
99,14,10
100,12,9
101,10,8
102,,
103,,
104,,
105,6,
106,7,3
107,12,9
108,15,13
109,16,13
110,16,12
111,13,10
112,13,11
113,11,9
114,10,8
115,11,9
116,11,7
117,8,6
118,7,5
119,8,6
120,7,6
