frame,left,right
1,11,4
2,8,5
3,6,5
4,3,3
5,8,2
6,6,5
7,10,3
8,5,9
9,14,2
10,17,1
11,16,2
12,15,1
13,11,1
14,10,4
15,11,1
16,14,6
17,13,5
18,14,2
19,15,1
20,16,1
21,13,1
22,14,1
23,11,3
24,12,1
25,14,1
26,12,3
27,10,5
28,9,6
29,10,5
30,6,8
31,6,11
32,4,9
33,11,2
34,5,5
35,9,7
36,9,5
37,10,4
38,13,3
39,12,4
40,12,4
41,15,4
42,13,5
43,12,3
44,5,2
45,10,3
46,13,5
47,16,1
48,6,2
49,3,3
50,12,3
51,3,3
52,5,1
53,4,4
54,9,4
55,2,5
56,7,9
57,16,1
58,15,1
59,13,2
60,14,3
61,4,1
62,6,7
63,11,2
64,13,1
65,2,11
66,5,6
67,1,13
68,1,12
69,5,10
70,9,6
71,14,1
72,6,14
73,6,14
74,15,6
75,8,3
76,15,3
77,17,1
78,10,6
79,12,6
80,10,6
81,12,2
82,9,2
83,8,5
84,10,6
85,17,1
86,8,6
87,1,12
