frame,left,right
1,4,16
2,7,19
3,9,17
4,12,17
5,11,17
6,11,16
7,9,17
8,13,15
9,16,15
10,17,3
11,17,7
12,16,6
13,15,9
14,15,14
15,14,15
16,12,16
17,14,15
18,15,12
19,14,13
20,12,17
21,15,15
22,15,14
23,15,15
24,15,13
25,15,13
26,15,15
27,12,16
28,13,17
29,14,17
30,14,16
31,14,18
32,13,16
33,10,19
34,8,19
35,8,17
36,7,14
37,12,14
38,13,14
39,2,12
40,4,13
41,3,12
42,3,9
43,1,6
44,2,10
45,2,8
46,3,8
47,3,1
48,4,1
49,4,2
50,5,2
51,4,1
52,3,1
53,5,3
54,8,2
55,9,1
56,8,5
57,6,17
58,6,19
59,9,19
60,9,19
61,12,16
62,10,17
63,11,18
64,11,17
65,5,10
66,7,9
67,8,17
68,6,19
69,4,19
70,3,19
71,3,19
72,2,20
73,5,18
74,8,18
75,5,19
76,3,19
77,5,19
78,4,19
