frame,left,right
1,9,7
2,9,7
3,9,6
4,9,7
5,11,8
6,15,10
7,16,10
8,18,10
9,18,6
10,18,8
11,16,9
12,15,10
13,13,7
14,9,9
15,9,8
16,6,5
17,15,10
18,17,10
19,17,7
20,18,6
21,17,7
22,17,6
23,15,5
24,13,6
25,11,6
26,12,8
27,10,6
28,11,5
29,10,7
30,9,8
31,8,7
32,8,6
33,7,6
34,8,7
35,8,6
36,8,6
37,8,7
38,7,7
39,8,6
40,7,5
41,8,4
42,16,10
43,19,10
44,20,9
45,19,7
46,17,5
47,15,5
48,14,5
49,12,8
50,12,8
51,10,8
52,9,7
53,5,5
54,1,3
55,4,5
56,4,5
57,3,5
58,4,4
59,1,1
60,2,1
61,13,7
62,18,7
63,18,7
64,16,6
65,16,6
66,15,6
67,13,6
68,13,7
69,11,7
70,10,8
71,9,7
72,5,3
73,1,1
74,1,2
75,1,2
76,1,1
77,1,1
78,1,1
79,1,1
