X,treenode_id,connector_id,prepost,x,y,z,skid,SSN_source,celltype
693,25291575,25337875,1,16626.4,41278.535,24100,3965193,SSN_Q1Q2,bridge
694,25291549,25337551,1,18078.668,41278.535,23750,3965193,SSN_Q1Q2,bridge
695,25272385,25337554,1,19405.867,42437.734,23100,3965193,SSN_Q1Q2,bridge
696,25273300,25337556,1,21472.268,43204.934,22050,3965193,SSN_Q1Q2,bridge
697,25273872,25337558,1,21895.068,43566.137,20500,3965193,SSN_Q1Q2,bridge
698,25325207,25337560,1,22113.469,43913.336,19500,3965193,SSN_Q1Q2,bridge
700,25295430,25337899,1,18131.092,40143.453,25550,3965193,SSN_Q1Q2,bridge
702,25291697,25337657,1,17374,38811.035,25000,3965193,SSN_Q1Q2Q3Q4,bridge
720,25324125,25337983,1,42258.074,51093.934,10850,3965001,SSN_Q1Q2Q3Q4,Cgroove
723,25271072,25337952,1,11844.933,46341.21,15700,3965017,SSN_Q1Q2Q3Q4,Cgroove
724,25263180,25337943,1,11541.133,45817.61,14000,3965021,SSN_Q1Q2Q3Q4,Cgroove
725,25280043,25337928,1,17768.8,33486.836,14600,3965022,SSN_Q1Q2Q3Q4,Cgroove
726,25253527,25337931,1,17679.2,33887.234,14100,3965022,SSN_Q1Q2Q3Q4,Cgroove
727,25331978,25338038,1,17546.2,31947.531,13600,3965033,SSN_Q1Q2Q3Q4,Cgroove
743,25209799,25337607,1,40250.465,47207.3,20750,3965651,SSN_Q1Q2Q3Q4,dense_vesicle
758,25264715,25337947,1,11333.933,43009.21,12800,3965774,SSN_Q1Q2Q3Q4,epithelial_floor
759,25264715,25337948,1,11375.933,42398.81,12850,3965774,SSN_Q1Q2Q3Q4,epithelial_floor
760,25268650,25337950,1,13792.333,41894.81,11200,3965774,SSN_Q1Q2Q3Q4,epithelial_floor
761,25238821,25337872,1,13377.34,35173.605,12450,3965779,SSN_Q1Q2Q3Q4,epithelial_floor
762,25331971,25338038,1,17546.2,31947.531,13600,3965781,SSN_Q1Q2Q3Q4,epithelial_floor
763,25255805,25337932,1,15458.8,33960.035,12000,3965782,SSN_Q1Q2Q3Q4,epithelial_floor
764,25306438,25337975,1,14663.6,31532.434,10200,3965783,SSN_Q1Q2Q3Q4,Cgroove
765,25268587,25337950,1,13792.333,41894.81,11200,3965786,SSN_Q1Q2Q3Q4,epithelial_floor
766,25263095,25337943,1,11541.133,45817.61,14000,3965787,SSN_Q1Q2Q3Q4,epithelial_floor
767,25247975,25337945,1,11515.933,44946.81,13400,3965787,SSN_Q1Q2Q3Q4,epithelial_floor
768,25253501,25337930,1,17127.6,34800.035,13600,3965790,SSN_Q1Q2Q3Q4,epithelial_floor
769,25309906,25337978,1,15248.8,35799.633,12950,3965791,SSN_Q1Q2Q3Q4,epithelial_floor
770,25253399,25337928,1,17768.8,33486.836,14600,3965791,SSN_Q1Q2Q3Q4,epithelial_floor
772,25220785,25337749,1,21550.668,45213.934,13950,3965794,SSN_Q1Q2,bridge
773,25221854,25337751,1,14960.4,42414.867,20700,3965794,SSN_Q1Q2,bridge
774,25206579,25337963,1,14942.563,41251.777,21300,3965794,SSN_Q1Q2,bridge
775,25256798,25337965,1,13464.733,41734.47,21050,3965794,SSN_Q1Q2,bridge
776,25294942,25337961,1,15072.867,41272.465,21900,3965794,SSN_Q1Q2,bridge
777,25256673,25337969,1,14325.266,40645.266,19600,3965794,SSN_Q1Q2,bridge
778,25258534,25337884,1,11580.801,38926.535,16250,3965795,SSN_Q1Q2,epithelial_floor
779,25258424,25337885,1,12845.001,38939.137,15400,3965795,SSN_Q1Q2,epithelial_floor
780,25282010,25337884,1,11580.801,38926.535,16250,3965797,SSN_Q1Q2,epithelial_floor
781,25309260,25337949,1,15987.535,42346.734,16300,3965798,SSN_Q1Q2,bridge
782,25281982,25337884,1,11580.801,38926.535,16250,3965799,SSN_Q1Q2,bridge
783,25208749,25337971,1,13344.335,38286.734,18050,3965799,SSN_Q1Q2,bridge
784,25256886,25337841,1,14125.535,38922.332,17700,3965799,SSN_Q1Q2,bridge
785,25218383,25337745,1,13753.04,37703.355,21100,3965801,SSN_Q1Q2Q3Q4,bridge
786,25219235,25337747,1,15690.735,40088.066,19100,3965801,SSN_Q1Q2,bridge
787,25305108,25337944,1,21431.201,41926.27,15700,3965801,SSN_Q1Q2,bridge
789,25288912,25337895,1,16498.531,38231.2,22200,3965801,SSN_Q1Q2,bridge
791,25276635,25337831,1,14977.2,38158.71,18950,3965801,SSN_Q1Q2,bridge
792,25209924,25337835,1,15066.8,38752.31,18600,3965801,SSN_Q1Q2,bridge
793,25209924,25337838,1,15769.6,38536.71,18550,3965801,SSN_Q1Q2,bridge
794,25264163,25337946,1,11423.533,42698.41,13200,3965802,SSN_Q1Q2Q3Q4,epithelial_floor
795,25220762,25337749,1,21550.668,45213.934,13950,3965803,SSN_Q1Q2,bridge
796,25286540,25337887,1,12789.934,39621.4,19250,3965803,SSN_Q1Q2,bridge
797,25267351,25337969,1,14325.266,40645.266,19600,3965803,SSN_Q1Q2,bridge
800,25267413,25337833,1,14658,38192.31,18850,3965803,SSN_Q1Q2,bridge
801,25255972,25337835,1,15066.8,38752.31,18600,3965803,SSN_Q1Q2,bridge
802,25256859,25337841,1,14125.535,38922.332,17700,3965803,SSN_Q1Q2,bridge
803,25276264,25337879,1,16045.247,38231.207,23000,3965804,SSN_Q1Q2,bridge
804,25274318,25337560,1,22113.469,43913.336,19500,3965805,SSN_Q1Q2,bridge
806,25307163,25337747,1,15690.735,40088.066,19100,3965806,SSN_Q1Q2,bridge
807,25245012,25338056,1,14728.932,43889.06,21850,3965807,SSN_Q1Q2,bridge
839,25257945,25337935,1,39953.2,58849.24,16800,3965819,SSN_Q1Q2Q3Q4,bridge
840,25258622,25337937,1,39802,57914.04,17050,3965819,SSN_Q1Q2Q3Q4,bridge
841,25221695,25337645,1,40797.867,55587,15300,3965819,SSN_Q1Q2Q3Q4,bridge
853,25280440,25337610,1,33465.6,49170.33,13800,3965875,SSN_Q3Q4,dense_vesicle
854,25236172,25337769,1,35824.133,49556.496,18250,3965875,SSN_Q3Q4,dense_vesicle
855,25236718,25337771,1,37286.047,50003.41,19700,3965875,SSN_Q3Q4,dense_vesicle
856,25288881,25337679,1,36806.934,50374.098,18700,3965875,SSN_Q3Q4,dense_vesicle
857,25238668,25337784,1,33272.39,49822.73,15150,3965875,SSN_Q3Q4,dense_vesicle
880,25210581,25337736,1,10593.333,46234.81,11650,3965872,SSN_Q1Q2Q3Q4,Cgroove
887,25300197,25337723,1,34087.2,51681.24,25200,3965341,SSN_Q1Q2Q3Q4,SSN
911,25287117,25337604,1,40222.465,48405.7,21250,3965341,SSN_Q1Q2Q3Q4,SSN
913,25285677,25337606,1,40102.066,48237.7,20850,3965341,SSN_Q1Q2Q3Q4,SSN
914,25235154,25337606,1,40102.066,48237.7,20850,3965341,SSN_Q1Q2Q3Q4,SSN
958,25279535,25337691,1,35499.332,62588.867,21400,3965341,SSN_Q1Q2Q3Q4,SSN
964,25289544,25337574,1,40390,59184.297,13250,3965341,SSN_Q1Q2Q3Q4,SSN
966,25327398,25337914,1,39892.53,60643.1,10400,3965341,SSN_Q1Q2Q3Q4,SSN
969,25288285,25337911,1,15601.29,40123.39,24750,3965321,SSN_Q1Q2,bridge
970,25267518,25337909,1,15861.69,40361.387,25150,3965321,SSN_Q1Q2,bridge
971,25240223,25337920,1,15675.647,39261.61,22850,3965321,SSN_Q1Q2,bridge
972,25269453,25337875,1,16626.4,41278.535,24100,3965321,SSN_Q1Q2,bridge
973,25227106,25337800,1,16212.932,44919.457,22300,3965321,SSN_Q1Q2,bridge
974,25299308,25337802,1,16641.33,45319.86,22450,3965321,SSN_Q1Q2,bridge
975,25227106,25337803,1,16812.13,46017.06,22300,3965321,SSN_Q1Q2,bridge
976,25249547,25337806,1,15190.93,44451.86,22800,3965321,SSN_Q1Q2,bridge
977,25247752,25337808,1,14479.73,44429.46,23000,3965321,SSN_Q1Q2,bridge
978,25248046,25337809,1,14882.93,43807.86,23550,3965321,SSN_Q1Q2,bridge
979,25251106,25338053,1,16739.332,45510.258,21850,3965321,SSN_Q1Q2,bridge
984,25240360,25337844,1,16418.893,42597.652,23850,3965321,SSN_Q1Q2,bridge
985,25259498,25337846,1,15895.292,43275.254,23800,3965321,SSN_Q1Q2,bridge
986,25240476,25337848,1,14556.892,41651.254,24250,3965321,SSN_Q1Q2,bridge
988,25240476,25337849,1,14876.092,42676.055,24300,3965321,SSN_Q1Q2,bridge
1014,25237513,25337745,1,13753.04,37703.355,21100,3965145,SSN_Q1Q2Q3Q4,SSN
1057,25288943,25337895,1,16498.531,38231.2,22200,3965145,SSN_Q1Q2,SSN
